,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neurons_hidden_3,param_neurons_hidden_2,param_neurons_hidden_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
127,0.8111357688903809,0.03800094010392203,0.2723223686218262,0.025471717130312998,167,146,226,"{'neurons_hidden_3': 167, 'neurons_hidden_2': 146, 'neurons_hidden_1': 226}",-419.716559102028,-1754.8458904109589,-352.48578245393696,-384.27334157558676,-344.388274799159,-651.1419696683338,552.4911361200037,201
128,0.8398463249206543,0.023714193738743408,0.2705179214477539,0.04005086443765995,272,240,254,"{'neurons_hidden_3': 272, 'neurons_hidden_2': 240, 'neurons_hidden_1': 254}",-375.79896095769266,-337.9006239162121,-444.69089663104324,-405.1805736639484,-301.0896288337336,-372.93213680052594,50.171810450129435,44
129,0.7987963199615479,0.03054223126183376,0.27469701766967775,0.01770190714667114,48,176,79,"{'neurons_hidden_3': 48, 'neurons_hidden_2': 176, 'neurons_hidden_1': 79}",-443.95911540905405,-571.5900209477041,-381.38277028859034,-438.60970407082664,-379.9627581197509,-443.1008737671852,69.7508624629656,136
130,0.8538668632507325,0.052063744725734606,0.27053542137145997,0.021569926251827617,55,229,297,"{'neurons_hidden_3': 55, 'neurons_hidden_2': 229, 'neurons_hidden_1': 297}",-363.4601924480151,-360.1945913608243,-292.66792601463317,-377.6175946901994,-321.51664432102086,-343.09138976693856,31.328778436641695,12
131,0.8080975532531738,0.04876291739872828,0.2723386287689209,0.028115952495975698,169,202,145,"{'neurons_hidden_3': 169, 'neurons_hidden_2': 202, 'neurons_hidden_1': 145}",-433.2922668808008,-1754.8458904109589,-399.35768562653936,-368.1927812328709,-1695.11301369863,-930.1603275699601,649.5684301345152,281
132,0.8465667247772217,0.03370033386030431,0.2760146141052246,0.030045070624330723,221,293,251,"{'neurons_hidden_3': 221, 'neurons_hidden_2': 293, 'neurons_hidden_1': 251}",-378.4503996777949,-350.4239220270305,-287.049896718741,-341.1820217023873,-321.94076744420624,-335.809401514032,30.431997307965,4
133,0.8123085975646973,0.03057417242813933,0.29221267700195314,0.03593721230046146,84,142,259,"{'neurons_hidden_3': 84, 'neurons_hidden_2': 142, 'neurons_hidden_1': 259}",-494.8413701470072,-448.39276599395146,-370.5604194942792,-365.17703351095304,-365.73218270248265,-408.9407543697347,53.274142031934126,105
134,0.7992963314056396,0.06768144583453467,0.26081070899963377,0.02959940259802684,139,138,163,"{'neurons_hidden_3': 139, 'neurons_hidden_2': 138, 'neurons_hidden_1': 163}",-446.8549182080191,-424.5579648252501,-693.2798505199094,-386.15044510099534,-346.54589002536096,-459.477813735907,121.79708381376287,143
135,0.7763652324676513,0.03533444812880455,0.27639331817626955,0.03304615976733847,127,104,23,"{'neurons_hidden_3': 127, 'neurons_hidden_2': 104, 'neurons_hidden_1': 23}",-491.08688423408694,-454.24469325892505,-388.00896630793574,-413.951497417304,-430.79718238549503,-435.6178447207493,35.16546182135667,133
136,0.7944859504699707,0.03316979275023179,0.25809221267700194,0.024649126006894454,120,120,114,"{'neurons_hidden_3': 120, 'neurons_hidden_2': 120, 'neurons_hidden_1': 114}",-436.85526752665385,-404.22448971731296,-1905.8561643835617,-388.94926939462505,-384.4453626002348,-704.0661107244775,601.1758497820425,253
137,0.7733207702636719,0.021616290837705995,0.27594518661499023,0.03089431057373651,44,222,32,"{'neurons_hidden_3': 44, 'neurons_hidden_2': 222, 'neurons_hidden_1': 32}",-464.2978839130613,-471.5544546881662,-406.1321233364781,-558.0493391514548,-463.3369860014213,-472.67415741811635,48.73471538405074,152
138,0.802188491821289,0.023207691775651376,0.25643281936645507,0.014319501891045708,118,70,279,"{'neurons_hidden_3': 118, 'neurons_hidden_2': 70, 'neurons_hidden_1': 279}",-414.2897014204866,-396.1364431971041,-422.71673673497725,-1583.0650684931506,-395.52005145548304,-642.3456002602404,470.4766198581872,195
139,0.82491135597229,0.04341219749306196,0.2729154586791992,0.0330234288120606,255,137,238,"{'neurons_hidden_3': 255, 'neurons_hidden_2': 137, 'neurons_hidden_1': 238}",-380.7746447041643,-355.26725566549766,-1905.8545021528078,-352.7000031488079,-335.6242716163362,-666.0441354575227,620.0729841568933,216
140,0.799422025680542,0.03415816703255966,0.2603318214416504,0.02736092464372763,77,43,91,"{'neurons_hidden_3': 77, 'neurons_hidden_2': 43, 'neurons_hidden_1': 91}",-473.90687488141145,-484.48445786455426,-398.13257572190025,-432.4474443136146,-1695.11301369863,-696.8168732960221,500.0945131826058,244
141,0.8004222393035889,0.017675058413773245,0.26624770164489747,0.014507689583457694,278,126,25,"{'neurons_hidden_3': 278, 'neurons_hidden_2': 126, 'neurons_hidden_1': 25}",-432.0340390641937,-403.54377035057263,-347.8109744127939,-1583.0650684931506,-422.09617627884654,-637.7100057199116,473.57436492210036,191
